 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=           1 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        2       20  26629.04120  6.709243513E+00 -4.997337946E-01 -2.946890831E+00 -5.619801918E-02 -2.912082824E+01 -6.946367146E-04       11
        1       21     29.84200  3.305928386E+00 -3.443128417E-02 -3.395312471E+00 -2.418535418E-01  3.394893516E+01 -1.802368410E-04       11
        2       21     29.84200 -5.660167302E+00  9.818705420E-02  4.083843108E+00  2.956291082E-01 -2.912300967E+01 -6.946441158E-04       11
        1       21  13359.13123  6.180141617E+00 -9.777594102E-02  7.544041958E-01  3.541307773E-02  3.469689483E+01 -1.700732834E-04       11
        2       21  13359.13123 -2.373486098E+00  2.773000274E-02 -1.293846971E-01 -2.452415982E-02 -2.619864338E+01 -7.026166612E-04       11
        1       21  26629.04120 -6.301832625E+00  4.436340910E-01 -1.022012496E+01 -1.675624392E-01  3.541621116E+01 -1.700732834E-04       11
        2       21  26629.04120 -7.280148214E+00  5.082564060E-01 -5.078492486E+00 -8.685817245E-02 -2.328070352E+01 -7.026166612E-04       11
        1       22     29.84200  3.823326233E+00 -5.258233033E-02  1.429677945E+01  1.032995627E+00  3.540923853E+01 -1.700806905E-04       11
        2       22     29.84200  4.160499712E+00 -4.923163038E-02  7.198336639E+00  5.191018012E-01 -2.328365712E+01 -7.026240644E-04       11
        1       22  13359.13123  8.657888558E+00 -1.453190841E-01 -8.904642619E+00 -6.541170275E-01  3.610353042E+01 -1.595100391E-04       11
        2       22  13359.13123  7.065610919E+00 -1.136261500E-01 -1.661479582E-01 -2.528839390E-02 -2.033235657E+01 -7.088811546E-04       11
        1       22  26629.04120  9.143222910E+00 -6.723641687E-01 -3.656772888E+00 -5.847415303E-02  3.677574689E+01 -1.595100391E-04       11
        2       22  26629.04120 -2.874292707E+00  1.960410135E-01 -2.568129853E+00 -4.753699482E-02 -1.738762595E+01 -7.088811546E-04       11
        1       23     29.84200 -7.219932873E+00  1.177184818E-01  5.575759361E+00  3.972194667E-01  3.677222339E+01 -1.595174483E-04       11
        2       23     29.84200  1.373090450E+00 -1.485892568E-02  3.717825593E+00  2.671676807E-01 -1.738837657E+01 -7.088885597E-04       11
        1       23  13359.13123 -2.878765948E+00  3.109103984E-02  8.888379755E+00  6.296917543E-01  3.742780356E+01 -1.485689529E-04       11
        2       23  13359.13123  6.586481159E+00 -1.142369206E-01  3.537531297E+00  2.410206089E-01 -1.441117512E+01 -7.133998510E-04       11
        1       23  26629.04120 -1.994646070E+00  1.252416986E-01  3.360719307E+00  3.819503345E-02  3.805797092E+01 -1.485689529E-04       11
        2       23  26629.04120  7.864783548E+00 -5.817180419E-01 -2.471584268E+00 -4.878783812E-02 -1.145056323E+01 -7.133998510E-04       11
        1       24     29.84200  3.259090872E-01  1.138160598E-02 -4.911620786E+00 -3.522980830E-01  3.805720399E+01 -1.485763641E-04       11
        2       24     29.84200 -6.396636339E+00  1.074226565E-01  3.423008388E+00  2.478204430E-01 -1.145310104E+01 -7.134072581E-04       11
        1       24  13359.13123  3.087197507E+00 -5.052927403E-02  3.586413853E+00  2.397023140E-01  3.867349579E+01 -1.372720483E-04       11
        2       24  13359.13123 -2.513830915E+00  2.791233705E-02  5.281185275E-01  2.273194776E-02 -8.455780321E+00 -7.161519252E-04       11
        1       24  26629.04120 -9.197753724E+00  6.509275918E-01 -9.191433207E+00 -1.535247551E-01  3.925765773E+01 -1.372720483E-04       11
        2       24  26629.04120 -4.632171159E+00  3.164836568E-01 -5.090970222E+00 -8.754943759E-02 -5.482230699E+00 -7.161519252E-04       11
