 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=         100 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        1     1801  26629.04120 -6.496320188E-01  3.249269792E-02 -3.512629673E+00 -6.304946342E-02  3.947837804E+01 -1.281962079E-04       11
        2     1801  26629.04120 -6.495984203E-01  3.249027196E-02 -3.512629900E+00 -6.304946644E-02  3.947837801E+01 -1.281962087E-04       11
        1     1901     29.84200 -5.554076966E-01  1.864554682E-02  5.021918081E+00  3.621256479E-01 -1.412439098E+01 -2.522937772E-04       11
        2     1901     29.84200 -5.554080622E-01  1.864553101E-02  5.021918196E+00  3.621256565E-01 -1.412439112E+01 -2.522937772E-04       11
        1     1901  13359.13123  3.363361871E+00 -6.089456414E-02  7.476444962E-01  3.969737311E-02 -1.306436924E+01 -2.562657903E-04       11
        2     1901  13359.13123  3.363366064E+00 -6.089464871E-02  7.476438945E-01  3.969732959E-02 -1.306436938E+01 -2.562657903E-04       11
        1     1901  26629.04120 -6.748178967E-01  3.427041108E-02 -3.488435184E+00 -6.271489463E-02 -1.199317420E+01 -2.562657903E-04       11
        2     1901  26629.04120 -6.747858655E-01  3.426809592E-02 -3.488435568E+00 -6.271490019E-02 -1.199317436E+01 -2.562657903E-04       11
        1     2001     29.84200 -5.463842634E-01  1.838909139E-02  5.086669881E+00  3.667276554E-01 -4.472091014E+01  2.598555006E-05       11
        2     2001     29.84200 -5.463870548E-01  1.838911200E-02  5.086669795E+00  3.667276494E-01 -4.472091018E+01  2.598555107E-05       11
        1     2001  13359.13123  3.394564812E+00 -6.128469462E-02  5.258087317E-01  2.371229316E-02 -4.481994308E+01  1.292080511E-05       11
        2     2001  13359.13123  3.394565516E+00 -6.128472701E-02  5.258085423E-01  2.371227940E-02 -4.481994313E+01  1.292080611E-05       11
        1     2001  26629.04120 -6.939421482E-01  3.573314106E-02 -3.534642134E+00 -6.333514040E-02 -4.486130846E+01  1.292080511E-05       11
        2     2001  26629.04120 -6.939123988E-01  3.573098875E-02 -3.534642348E+00 -6.333514361E-02 -4.486130851E+01  1.292080611E-05       11
        1     2101     29.84200 -5.321733942E-01  1.805474469E-02  5.143950210E+00  3.708064972E-01 -6.356712997E+00  2.659188931E-04       11
        2     2101     29.84200 -5.321761392E-01  1.805476427E-02  5.143950327E+00  3.708065056E-01 -6.356712868E+00  2.659188935E-04       11
        1     2101  13359.13123  3.423696617E+00 -6.164786273E-02  3.184580615E-01  8.769849791E-03 -7.474409553E+00  2.637702358E-04       11
        2     2101  13359.13123  3.423696400E+00 -6.164788168E-02  3.184580271E-01  8.769847370E-03 -7.474409426E+00  2.637702362E-04       11
        1     2101  26629.04120 -7.042611926E-01  3.655664483E-02 -3.586083350E+00 -6.404630177E-02 -8.552328048E+00  2.637702358E-04       11
